role_code,competency_code,indicator_code,assessment_tool_code
MLE,MF-4,MF-4.1,OS-1
MLE,MF-4,MF-4.1,OS-3
MLE,MF-4,MF-4.1,OS-4
MLE,MF-4,MF-4.1,OS-5
MLE,MF-4,MF-4.2,OS-1
MLE,MF-4,MF-4.2,OS-2
MLE,MF-4,MF-4.2,OS-4
MLE,MF-4,MF-4.3,OS-1
MLE,MF-4,MF-4.3,OS-3
MLE,MF-4,MF-4.3,OS-4
MLE,PL-1,PL-1.1,OS-1
MLE,PL-1,PL-1.1,OS-4
MLE,PL-1,PL-1.2,OS-1
MLE,PL-1,PL-1.2,OS-4
MLE,PL-1,PL-1.3,OS-4
DA,MF-1,MF-1.1,OS-2
DA,MF-1,MF-1.1,OS-4
DA,MF-1,MF-1.1,OS-5
DA,MF-1,MF-1.2,OS-2
DA,MF-1,MF-1.2,OS-3
DA,MF-1,MF-1.2,OS-4
DA,MF-1,MF-1.2,OS-5
MLR,MF-2,MF-2.1,OS-2
MLR,MF-2,MF-2.1,OS-4
MLR,MF-2,MF-2.1,OS-5
MLR,MF-2,MF-2.2,OS-1
MLR,MF-2,MF-2.2,OS-4
MLR,MF-2,MF-2.3,OS-3
MLR,MF-2,MF-2.3,OS-4
MLR,MF-2,MF-2.3,OS-5
